_id,amountPerItem,itemNameAr,itemName,serviceId,categoryId
ObjectId(5bc46624de51373d690b85bd),10,قميص نوم,Night Gown ,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4662cde51373d690b85c8),2,شماغ,Shemag,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc4663cde51373d690b85d3),16,قميص نوم قطعتين,Night Gown 2 pcs,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46648de51373d690b85de),10,ستائر شيفون,Shere Curtain,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b16bc479a701d6c754a)
ObjectId(5bc46654de51373d690b85e9),15,اوفر كوت,Over Coat,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc4665fde51373d690b85f4),3,قميص نشأ,Shirt,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc4665fde51373d690b85ff),20,جاكيت نسائي,Lady Jacket,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4667ade51373d690b860a),2.75,قميص نشا,Shirt,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc4667bde51373d690b8615),9,بيجاما قطعتين,Pajama 2 pcs,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46693de51373d690b8620),250,جاكيت جلد طبيعي,Leather Jacket Normal,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc4669ade51373d690b862b),14,بدلة باكستاني,Pakistani Dress Starch,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc466b0de51373d690b8636),2,بنطلون نصف شورت,Short,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc466b5de51373d690b8641),10,بدلة باكستاني,Pakistani Dress,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc466d0de51373d690b864c),3,وجة مخدة,Pillow Case,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc466d8de51373d690b8657),150,جاكيت جلد صناعي,Leather Jacket,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc466dbde51373d690b8662),5,سجاد حرير,Silk Carpet,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b44bc479a701d6c754b)
ObjectId(5bc466e7de51373d690b866d),7,مخدة,Pillow,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc466f9de51373d690b8678),25,فستان حرير,Silk Dress,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46708de51373d690b8683),6,بدلة عسكرية,Military Suit,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc46717de51373d690b868e),10,بيجاما حرير,Silk Pajama,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46719de51373d690b8699),30,تنورة تكسير,Plate Skirt,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46733de51373d690b86a7),5.5,تنورة,Skirt,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46736de51373d690b86b2),14,سجاد عادي,Regular Carpet,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b44bc479a701d6c754b)
ObjectId(5bc46736de51373d690b86bd),3.5,كرافيتة,Nick Tie,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc4674bde51373d690b86c8),1,شراب,Socks,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a3dbc479a701d6c7546)
ObjectId(5bc46751de51373d690b86d3),5.5,طرحة,Scarf,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46764de51373d690b86de),5.2,شماغ,Shemag,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc46766de51373d690b86e9),18,عباية شاك,Special Abaya,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4676dde51373d690b86f4),15,قميص نوم,Night Gown 1 pcs,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4677ede51373d690b86ff),10,ستائر شيفون,Shere Curtain,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b16bc479a701d6c754a)
ObjectId(5bc46780de51373d690b870a),100,فستان خاص شك,Special Dress,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46795de51373d690b8715),4.5,قميص,Shirt,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc4679bde51373d690b8720),16,قميص نوم قطعتين,Night Gown 2 pcs,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4679bde51373d690b872b),8.5,بدلة قطعتين,Suit 2 pcs,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc467afde51373d690b8736),7,قميص نشا,Shirt,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc467b4de51373d690b8741),18,بدلة ثلاث قطع,Suit 3 pcs,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc467c9de51373d690b874c),3.5,بنطلون نصف شورت,Short,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc467cade51373d690b8757),21,اوفر كوت,Over Coat,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b60bc479a701d6c754c)
